"","y","site","area","year","month","pocc","socc","ndays","season","aspect","habitat","elevation","slope","rugg","popden","roadden","distpop","distroad"
"1551",1,12,2,2008,10,2,10,106,0,1,3,0.161857955141467,-0.863237532522938,6,1.05416918034811,1.51156239075292,-0.694139658669694,1.49997142033829
"1552",0,13,2,2008,10,2,10,106,0,1,3,0.739557020080425,-0.674958374736684,4,0.732626835665902,1.08806799255557,-0.887852636523147,1.49997142033829
"1553",1,14,2,2008,10,2,10,87,0,1,3,0.980264963804991,0.210431500262588,6,0.822136134534333,0.890821679188467,-0.869287345209903,0.889681122773246
"1554",1,15,2,2008,10,2,10,106,0,0,3,1.05432894648947,-0.79086339582107,6,0.403586368995191,0.731552260445009,-1.06611899482921,0.889681122773246
"1555",1,16,2,2008,10,2,10,70,0,0,3,0.887684985449389,-1.35908795137584,6,0.492144801246239,0.830613938298619,-0.971769702390362,0.889681122773246
"1556",1,17,2,2008,10,2,10,105,0,1,3,0.5358810676981,0.807901422854801,6,1.14105076958054,1.02134265655805,-0.794460968827016,1.49997142033829
"1557",1,18,2,2008,10,2,10,105,0,1,3,0.635867444322151,-0.710940361190974,6,0.590630469103912,0.575786487310367,-0.931188097693289,0.279390825208203
"1558",1,19,2,2008,10,2,10,105,0,1,3,-0.282525940965424,1.74249288965091,6,0.818062030219096,0.407885750527358,-0.815836483717838,0.279390825208203
"1559",0,20,2,2008,10,2,10,105,0,1,3,-0.619517062179817,2.67809157851664,6,1.08396114831855,0.795694534282884,-0.761233946795399,0.889681122773246
"1560",0,21,2,2008,10,2,10,105,0,1,1,-1.1861065297161,2.76972030888043,7,1.45376275289483,1.01361495789922,-0.694139658669694,0.950111781964559
"1561",1,22,2,2008,10,2,10,104,0,1,3,0.343314712718447,0.952219113077158,6,1.56910449826624,1.16088512554212,-0.709532005627931,1.49997142033829
